electrode,x,y,z,w,h,d,default,all,bank0,double_length,bank1,bank2,bank3,bank4
168.0,-30.0,1460.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
169.0,2.0,1460.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
170.0,-30.0,1475.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
171.0,2.0,1475.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
172.0,-30.0,1490.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
173.0,2.0,1490.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
174.0,-30.0,1505.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
175.0,2.0,1505.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
176.0,-30.0,1520.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
177.0,2.0,1520.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
178.0,-30.0,1535.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
179.0,2.0,1535.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
180.0,-30.0,1550.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
181.0,2.0,1550.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
182.0,-30.0,1565.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
183.0,2.0,1565.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
184.0,-30.0,1580.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
185.0,2.0,1580.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
186.0,-30.0,1595.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
187.0,2.0,1595.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
188.0,-30.0,1610.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
189.0,2.0,1610.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
190.0,-30.0,1625.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
191.0,2.0,1625.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
192.0,-30.0,1640.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
193.0,2.0,1640.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
194.0,-30.0,1655.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
195.0,2.0,1655.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
196.0,-30.0,1670.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
197.0,2.0,1670.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
198.0,-30.0,1685.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
199.0,2.0,1685.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
200.0,-30.0,1700.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
201.0,2.0,1700.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
202.0,-30.0,1715.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
203.0,2.0,1715.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
204.0,-30.0,1730.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
205.0,2.0,1730.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
206.0,-30.0,1745.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
207.0,2.0,1745.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
208.0,-30.0,1760.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
209.0,2.0,1760.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
210.0,-30.0,1775.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
211.0,2.0,1775.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
212.0,-30.0,1790.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
213.0,2.0,1790.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
214.0,-30.0,1805.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
215.0,2.0,1805.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
216.0,-30.0,1820.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
217.0,2.0,1820.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
218.0,-30.0,1835.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
219.0,2.0,1835.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
220.0,-30.0,1850.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
221.0,2.0,1850.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
222.0,-30.0,1865.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
223.0,2.0,1865.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
224.0,-30.0,1880.0,0.0,12.0,12.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
