electrode,x,y,z,w,h,d,default,all,bank0,double_length
199.0,2.0,2180.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
200.0,-14.0,2200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
201.0,18.0,2200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
202.0,-30.0,2220.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
203.0,2.0,2220.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
204.0,-14.0,2240.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
205.0,18.0,2240.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
206.0,-30.0,2260.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
207.0,2.0,2260.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
208.0,-14.0,2280.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
209.0,18.0,2280.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
210.0,-30.0,2300.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
211.0,2.0,2300.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
212.0,-14.0,2320.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
213.0,18.0,2320.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
214.0,-30.0,2340.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
215.0,2.0,2340.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
216.0,-14.0,2360.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
217.0,18.0,2360.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
218.0,-30.0,2380.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
219.0,2.0,2380.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
220.0,-14.0,2400.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
221.0,18.0,2400.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
222.0,-30.0,2420.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
