electrode,x,y,z,w,h,d,default,all,bank0,double_length
407,2,3245,0,12,12,24,0,1,0,0
408,-30,3260,0,12,12,24,0,1,0,1
409,2,3260,0,12,12,24,0,1,0,0
410,-30,3275,0,12,12,24,0,1,0,1
411,2,3275,0,12,12,24,0,1,0,0
412,-30,3290,0,12,12,24,0,1,0,1
413,2,3290,0,12,12,24,0,1,0,0
414,-30,3305,0,12,12,24,0,1,0,1
415,2,3305,0,12,12,24,0,1,0,0
416,-30,3320,0,12,12,24,0,1,0,1
417,2,3320,0,12,12,24,0,1,0,0
418,-30,3335,0,12,12,24,0,1,0,1
419,2,3335,0,12,12,24,0,1,0,0
420,-30,3350,0,12,12,24,0,1,0,1
421,2,3350,0,12,12,24,0,1,0,0
422,-30,3365,0,12,12,24,0,1,0,1
423,2,3365,0,12,12,24,0,1,0,0
424,-30,3380,0,12,12,24,0,1,0,1
425,2,3380,0,12,12,24,0,1,0,0
426,-30,3395,0,12,12,24,0,1,0,1
427,2,3395,0,12,12,24,0,1,0,0
428,-30,3410,0,12,12,24,0,1,0,1
429,2,3410,0,12,12,24,0,1,0,0
430,-30,3425,0,12,12,24,0,1,0,1
431,2,3425,0,12,12,24,0,1,0,0
432,-30,3440,0,12,12,24,0,1,0,1
433,2,3440,0,12,12,24,0,1,0,0
434,-30,3455,0,12,12,24,0,1,0,1
435,2,3455,0,12,12,24,0,1,0,0
436,-30,3470,0,12,12,24,0,1,0,1
437,2,3470,0,12,12,24,0,1,0,0
438,-30,3485,0,12,12,24,0,1,0,1
439,2,3485,0,12,12,24,0,1,0,0
440,-30,3500,0,12,12,24,0,1,0,1
441,2,3500,0,12,12,24,0,1,0,0
442,-30,3515,0,12,12,24,0,1,0,1
443,2,3515,0,12,12,24,0,1,0,0
444,-30,3530,0,12,12,24,0,1,0,1
445,2,3530,0,12,12,24,0,1,0,0
446,-30,3545,0,12,12,24,0,1,0,1
447,2,3545,0,12,12,24,0,1,0,0
448,-30,3560,0,12,12,24,0,1,0,1
449,2,3560,0,12,12,24,0,1,0,0
450,-30,3575,0,12,12,24,0,1,0,1
451,2,3575,0,12,12,24,0,1,0,0
452,-30,3590,0,12,12,24,0,1,0,1
453,2,3590,0,12,12,24,0,1,0,0
454,-30,3605,0,12,12,24,0,1,0,1
455,2,3605,0,12,12,24,0,1,0,0
456,-30,3620,0,12,12,24,0,1,0,1
457,2,3620,0,12,12,24,0,1,0,0
458,-30,3635,0,12,12,24,0,1,0,1
459,2,3635,0,12,12,24,0,1,0,0
460,-30,3650,0,12,12,24,0,1,0,1
461,2,3650,0,12,12,24,0,1,0,0
462,-30,3665,0,12,12,24,0,1,0,1
463,2,3665,0,12,12,24,0,1,0,0
464,-30,3680,0,12,12,24,0,1,0,1
465,2,3680,0,12,12,24,0,1,0,0
466,-30,3695,0,12,12,24,0,1,0,1
467,2,3695,0,12,12,24,0,1,0,0
468,-30,3710,0,12,12,24,0,1,0,1
469,2,3710,0,12,12,24,0,1,0,0
470,-30,3725,0,12,12,24,0,1,0,1
471,2,3725,0,12,12,24,0,1,0,0
472,-30,3740,0,12,12,24,0,1,0,1
473,2,3740,0,12,12,24,0,1,0,0
474,-30,3755,0,12,12,24,0,1,0,1
475,2,3755,0,12,12,24,0,1,0,0
476,-30,3770,0,12,12,24,0,1,0,1
477,2,3770,0,12,12,24,0,1,0,0
478,-30,3785,0,12,12,24,0,1,0,1
479,2,3785,0,12,12,24,0,1,0,0
480,-30,3800,0,12,12,24,0,1,0,1
481,2,3800,0,12,12,24,0,1,0,0
482,-30,3815,0,12,12,24,0,1,0,1
483,2,3815,0,12,12,24,0,1,0,0
484,-30,3830,0,12,12,24,0,1,0,1
485,2,3830,0,12,12,24,0,1,0,0
486,-30,3845,0,12,12,24,0,1,0,1
487,2,3845,0,12,12,24,0,1,0,0
488,-30,3860,0,12,12,24,0,1,0,1
489,2,3860,0,12,12,24,0,1,0,0
490,-30,3875,0,12,12,24,0,1,0,1
491,2,3875,0,12,12,24,0,1,0,0
492,-30,3890,0,12,12,24,0,1,0,1
493,2,3890,0,12,12,24,0,1,0,0
494,-30,3905,0,12,12,24,0,1,0,1
495,2,3905,0,12,12,24,0,1,0,0
496,-30,3920,0,12,12,24,0,1,0,1
497,2,3920,0,12,12,24,0,1,0,0
498,-30,3935,0,12,12,24,0,1,0,1
499,2,3935,0,12,12,24,0,1,0,0
500,-30,3950,0,12,12,24,0,1,0,1
501,2,3950,0,12,12,24,0,1,0,0
502,-30,3965,0,12,12,24,0,1,0,1
503,2,3965,0,12,12,24,0,1,0,0
504,-30,3980,0,12,12,24,0,1,0,1
505,2,3980,0,12,12,24,0,1,0,0
506,-30,3995,0,12,12,24,0,1,0,1
507,2,3995,0,12,12,24,0,1,0,0
508,-30,4010,0,12,12,24,0,1,0,1
509,2,4010,0,12,12,24,0,1,0,0
510,-30,4025,0,12,12,24,0,1,0,1
511,2,4025,0,12,12,24,0,1,0,0
512,-30,4040,0,12,12,24,0,1,0,1
513,2,4040,0,12,12,24,0,1,0,0
514,-30,4055,0,12,12,24,0,1,0,1
515,2,4055,0,12,12,24,0,1,0,0
516,-30,4070,0,12,12,24,0,1,0,1
517,2,4070,0,12,12,24,0,1,0,0
518,-30,4085,0,12,12,24,0,1,0,1
519,2,4085,0,12,12,24,0,1,0,0
520,-30,4100,0,12,12,24,0,1,0,1
521,2,4100,0,12,12,24,0,1,0,0
522,-30,4115,0,12,12,24,0,1,0,1
523,2,4115,0,12,12,24,0,1,0,0
524,-30,4130,0,12,12,24,0,1,0,1
525,2,4130,0,12,12,24,0,1,0,0
526,-30,4145,0,12,12,24,0,1,0,1
527,2,4145,0,12,12,24,0,1,0,0
528,-30,4160,0,12,12,24,0,1,0,1
529,2,4160,0,12,12,24,0,1,0,0
530,-30,4175,0,12,12,24,0,1,0,1
531,2,4175,0,12,12,24,0,1,0,0
532,-30,4190,0,12,12,24,0,1,0,1
533,2,4190,0,12,12,24,0,1,0,0
534,-30,4205,0,12,12,24,0,1,0,1
535,2,4205,0,12,12,24,0,1,0,0
536,-30,4220,0,12,12,24,0,1,0,1
537,2,4220,0,12,12,24,0,1,0,0
538,-30,4235,0,12,12,24,0,1,0,1
539,2,4235,0,12,12,24,0,1,0,0
540,-30,4250,0,12,12,24,0,1,0,1
541,2,4250,0,12,12,24,0,1,0,0
542,-30,4265,0,12,12,24,0,1,0,1
543,2,4265,0,12,12,24,0,1,0,0
544,-30,4280,0,12,12,24,0,1,0,1
545,2,4280,0,12,12,24,0,1,0,0
546,-30,4295,0,12,12,24,0,1,0,1
